path,lot,score,D1_SEO,D2_AEO,D3_GEO,D4_WebVitals,D5_Images,D6_A11y,D7_AIAct,D8_Conversion,D9_Brand,D10_Stack,classe,effort_h
/,L1,785,78,72,85,68,75,80,82,88,85,80,POLISH,3.0
/a-propos,L1,820,85,80,90,82,85,85,80,88,88,85,BIEN,1.0
/methodologie,L1,840,88,85,85,80,88,82,80,85,85,85,BIEN,0.5
/roi,L1,810,82,80,85,75,85,78,80,85,80,80,BIEN,2.0
/transparence,L1,865,90,88,85,90,85,88,95,85,85,90,EXCELLENCE,0
/charte-editoriale,L1,875,92,90,85,92,85,90,95,88,88,92,EXCELLENCE,0
/sections,L1,450,20,15,0,70,40,65,0,0,80,80,REFONTE,1.0
/design,L1,460,20,15,0,75,30,70,0,0,85,85,REFONTE,1.0
/blog,L2,845,85,80,70,80,75,85,75,85,90,85,BIEN,0.5
/blog/[slug],L2,920,95,95,100,90,85,90,95,90,92,95,EXCELLENCE,0.2
/blog/auteur/[slug],L2,875,85,80,85,85,70,85,70,85,85,90,BIEN,0.5
/blog/categorie/[slug],L2,860,85,80,85,85,70,85,70,85,85,85,BIEN,0.5
/blog/secteur/[slug],L2,870,85,85,90,85,70,85,70,85,85,85,BIEN,0.5
/blog/service/[slug],L2,865,85,83,85,85,70,85,70,85,85,85,BIEN,0.5
/blog/tag/[slug],L2,860,85,80,85,85,70,85,70,85,85,85,BIEN,0.5
/blog/taille/[slug],L2,865,85,83,85,85,70,85,70,85,85,85,BIEN,0.5
/cas-concrets,L3,925,95,95,92,93,90,95,85,96,95,97,EXCELLENCE,0
/cas-concrets/[slug],L3,918,92,95,90,88,75,94,98,96,94,95,EXCELLENCE,1.5
/cas-concrets/secteur/[slug],L3,902,93,93,88,90,80,94,0,94,92,86,EXCELLENCE,0.5
/connaissances,L4,875,95,90,100,85,75,90,85,80,95,92,BIEN,2.0
/connaissances/[slug],L4,920,95,95,100,95,85,100,90,90,95,100,EXCELLENCE,3.0
/centre-aide,L4,905,95,95,100,90,100,95,95,100,95,95,BIEN,1.0
/centre-aide/[slug],L4,935,98,98,100,95,85,98,100,98,100,100,EXCELLENCE,0
/centre-aide/categorie/[slug],L4,910,95,90,100,95,85,95,90,100,95,95,BIEN,1.0
/guides,L4,880,90,95,100,100,90,95,90,95,98,100,BIEN,0.5
/guides/[slug],L4,945,98,98,100,98,90,98,100,98,100,100,EXCELLENCE,0
/guide-ia,L4,900,92,90,100,95,95,95,85,100,100,95,BIEN,1.5
/glossaire,L4,910,95,95,100,90,85,95,90,100,95,100,BIEN,1.5
/glossaire/[slug],L4,950,98,98,100,98,95,98,100,98,100,100,EXCELLENCE,0
/faq,L5,880,95,92,95,85,80,90,100,85,95,90,BIEN,2.0
/faq/[slug],L5,925,98,96,95,90,75,95,100,88,98,92,EXCELLENCE,0
/comparaisons,L5,865,93,88,95,82,70,90,100,78,92,90,BIEN,1.0
/comparaisons/[slug],L5,905,97,93,95,88,75,92,100,92,98,92,EXCELLENCE,0.5
/presse,L5,875,93,90,95,80,75,88,100,88,92,88,BIEN,1.0
/presse/[slug],L5,915,97,94,95,87,80,93,95,95,98,92,EXCELLENCE,0.5
/galerie,L6,845,95,85,90,80,75,85,90,70,90,90,BIEN,4.0
/galerie/[slug],L6,920,98,95,95,90,95,92,98,95,95,92,EXCELLENCE,0
/galerie/audits,L6,900,95,95,95,100,100,100,95,90,100,100,EXCELLENCE,0
/galerie/implementations,L6,900,95,95,95,100,100,100,95,90,100,100,EXCELLENCE,0
/galerie/interventions-formations,L6,900,95,95,95,100,100,100,95,90,100,100,EXCELLENCE,0
/stack-ia,L6,910,98,95,95,88,85,92,95,92,95,98,EXCELLENCE,0
/stack-ia/[tool],L6,925,98,98,95,90,95,93,98,95,96,97,EXCELLENCE,0
/audit,L7,810,95,88,92,78,65,82,80,82,88,75,BIEN,5.5
/audit/flash,L7,827,93,90,88,85,70,84,82,85,86,78,BIEN,1.0
/audit/cible,L7,839,94,91,90,84,72,85,82,86,87,78,BIEN,0.5
/audit/strategique-pme,L7,839,94,91,90,83,71,85,82,87,88,78,BIEN,0.5
/audit/strategique-eti,L7,838,94,91,90,82,70,85,82,87,89,78,BIEN,0.5
/audit/demande,L7,810,91,78,80,72,65,86,88,84,82,74,BIEN,3.0
/audit/par-ville/[ville],L7,832,94,93,96,88,62,85,84,80,82,88,BIEN,1.5
/interventions,L8,890,87,78,92,88,82,94,85,91,93,96,BIEN,2.0
/interventions/collectives,L8,890,85,79,90,89,82,93,88,90,92,94,BIEN,1.5
/interventions/essentielle,L8,890,88,92,90,87,85,92,85,88,91,93,BIEN,0.5
/interventions/demande,L8,880,92,85,88,84,65,88,90,80,89,91,BIEN,3.0
/interventions/par-ville/[ville],L8,920,92,90,97,88,62,93,90,95,85,95,EXCELLENCE,1.0
/implementation,L9,888,87,92,78,82,68,85,88,91,89,93,BIEN,1.5
/implementation/ia-custom,L9,862,90,88,75,85,70,85,85,88,88,88,BIEN,1.0
/implementation/par-techno,L9,848,88,75,80,85,70,85,85,85,85,88,CORRIGER,3.0
/implementation/par-fonction/[slug],L9,856,90,90,82,87,70,85,85,85,85,86,BIEN,2.0
/implementation/par-ville/[ville],L9,881,85,88,94,88,62,85,84,80,82,88,BIEN,1.0
/codage-developpement,L10,850,95,95,88,95,0,85,85,90,88,85,BIEN,1.0
/codage-developpement/web-digital,L10,848,90,92,88,88,0,92,90,95,88,85,BIEN,1.0
/sites-web-augmentes,L10,570,70,55,45,90,0,80,80,70,75,75,REFONTE,5.0
/un-a-un,L10,825,92,75,80,92,0,95,90,98,88,95,BIEN,2.0
/un-a-un/par-ville/[ville],L10,906,95,90,98,90,0,93,92,98,85,95,EXCELLENCE,0.5
/equipe/[slug],L10,912,93,92,70,88,95,94,98,70,92,95,EXCELLENCE,0
/implantations,L11,822,92,85,57,88,80,90,85,85,88,88,BIEN,0.5
/implantations/[region],L11,904,95,90,97,80,80,93,90,88,88,92,EXCELLENCE,0
/implantations/[region]/[ville],L11,897,95,93,97,74,75,93,90,72,85,90,EXCELLENCE,4.0
/audit/par-ville/[ville],L11,881,94,90,97,76,62,85,84,85,82,88,BIEN,1.0
/reserver,L12,765,75,50,70,85,70,80,85,80,80,85,CORRIGER,2.5
/demande-devis,L12,700,62,40,70,80,70,75,90,75,70,80,CORRIGER,2.0
/demande-devis/confirmation,L12,850,90,70,85,95,80,85,90,95,85,90,BIEN,1.0
/contact,L12,880,85,90,90,85,85,90,90,95,90,95,BIEN,0
/confirmation,L12,840,90,60,85,95,80,85,95,90,85,95,BIEN,1.0
/confirmation/newsletter,L12,900,95,80,85,98,80,90,98,92,85,98,EXCELLENCE,0
/desabonnement,L12,910,95,80,90,98,80,95,98,95,85,98,EXCELLENCE,0
/booking/[token]/cancel,L12,820,90,40,85,90,85,80,95,75,80,90,POLISH,2.0
/booking/[token]/reschedule,L12,800,90,40,85,85,85,75,90,70,80,85,CORRIGER,3.0
/mes-ressources,L12,750,85,50,85,70,80,75,80,60,75,85,CORRIGER,2.0
/mentions-legales,L13,880,95,82,95,98,95,90,78,85,98,99,BIEN,0.5
/politique-confidentialite,L13,895,95,85,95,98,95,90,95,95,98,99,BIEN,0
/sous-processeurs,L13,905,95,90,95,98,95,92,98,98,98,99,BIEN,0
/rgpd,L13,893,95,85,95,98,95,92,93,90,98,99,BIEN,0
/mes-donnees,L13,892,95,88,95,97,95,92,92,92,98,99,BIEN,0
/mes-donnees/export,L13,875,95,80,95,96,95,88,90,85,98,97,BIEN,0.5
/cookies,L13,890,95,85,95,98,95,90,88,90,98,99,BIEN,0
/preferences-cookies,L13,885,95,85,95,96,95,90,88,88,98,99,BIEN,0
/conditions-generales,L13,870,95,85,95,98,95,90,80,85,98,99,BIEN,0
/accessibilite,L13,865,95,80,95,98,95,92,82,85,98,99,BIEN,0.5
/corrections,L13,900,95,95,95,97,95,94,92,95,98,99,BIEN,0
/actualites,L13,895,95,93,92,97,95,92,90,88,98,99,BIEN,0
/actualites/[slug],L13,897,95,95,92,96,90,92,92,90,97,99,BIEN,0
/ressources,L13,893,95,88,95,97,95,90,88,90,98,99,BIEN,0
/recherche,L13,875,93,82,95,96,95,90,88,85,98,98,BIEN,0
/[...catchall],L13,898,95,95,95,99,95,90,99,95,98,100,BIEN,0
/maintenance,L13,920,95,95,95,100,95,92,99,90,100,100,EXCELLENCE,0
admin/dashboard,L14,250,10,0,0,80,60,75,70,60,80,95,CRITIQUE,0.5
admin/login,L14,200,10,0,0,80,60,75,70,50,80,90,CRITIQUE,0.5
admin/blog/*,L14,320,20,0,0,80,70,75,70,50,80,90,CRITIQUE,2.0
admin/content-gen/*,L14,280,10,0,0,80,70,70,70,40,80,88,CRITIQUE,8.0
admin/image-bank/*,L14,850,100,0,0,80,80,85,90,80,90,90,BIEN,0
