tier,ville,region_slug,verticale,url,http_status,h1_ville_ok,json_ld_ok,severity,notes
1,Lyon,auvergne-rhone-alpes,audits,/fr/implantations/auvergne-rhone-alpes/lyon/audits,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent (stub path sans Hero)
1,Lyon,auvergne-rhone-alpes,interventions,/fr/implantations/auvergne-rhone-alpes/lyon/interventions,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Lyon,auvergne-rhone-alpes,implementations,/fr/implantations/auvergne-rhone-alpes/lyon/implementations,200,yes,no,WARNING,CONFIRMÉ RUNTIME 200+H1; stub page; noindex; JSON-LD absent confirmé runtime
1,Lyon,auvergne-rhone-alpes,un-a-un,/fr/implantations/auvergne-rhone-alpes/lyon/un-a-un,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Lyon,auvergne-rhone-alpes,sites-web-ia,/fr/implantations/auvergne-rhone-alpes/lyon/sites-web-ia,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Marseille,provence-alpes-cote-d-azur,audits,/fr/implantations/provence-alpes-cote-d-azur/marseille/audits,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Marseille,provence-alpes-cote-d-azur,interventions,/fr/implantations/provence-alpes-cote-d-azur/marseille/interventions,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Marseille,provence-alpes-cote-d-azur,implementations,/fr/implantations/provence-alpes-cote-d-azur/marseille/implementations,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Marseille,provence-alpes-cote-d-azur,un-a-un,/fr/implantations/provence-alpes-cote-d-azur/marseille/un-a-un,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Marseille,provence-alpes-cote-d-azur,sites-web-ia,/fr/implantations/provence-alpes-cote-d-azur/marseille/sites-web-ia,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Toulouse,occitanie,audits,/fr/implantations/occitanie/toulouse/audits,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Toulouse,occitanie,interventions,/fr/implantations/occitanie/toulouse/interventions,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Toulouse,occitanie,implementations,/fr/implantations/occitanie/toulouse/implementations,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Toulouse,occitanie,un-a-un,/fr/implantations/occitanie/toulouse/un-a-un,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Toulouse,occitanie,sites-web-ia,/fr/implantations/occitanie/toulouse/sites-web-ia,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Bordeaux,nouvelle-aquitaine,audits,/fr/implantations/nouvelle-aquitaine/bordeaux/audits,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Bordeaux,nouvelle-aquitaine,interventions,/fr/implantations/nouvelle-aquitaine/bordeaux/interventions,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Bordeaux,nouvelle-aquitaine,implementations,/fr/implantations/nouvelle-aquitaine/bordeaux/implementations,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Bordeaux,nouvelle-aquitaine,un-a-un,/fr/implantations/nouvelle-aquitaine/bordeaux/un-a-un,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Bordeaux,nouvelle-aquitaine,sites-web-ia,/fr/implantations/nouvelle-aquitaine/bordeaux/sites-web-ia,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Lille,hauts-de-france,audits,/fr/implantations/hauts-de-france/lille/audits,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Lille,hauts-de-france,interventions,/fr/implantations/hauts-de-france/lille/interventions,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Lille,hauts-de-france,implementations,/fr/implantations/hauts-de-france/lille/implementations,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Lille,hauts-de-france,un-a-un,/fr/implantations/hauts-de-france/lille/un-a-un,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Lille,hauts-de-france,sites-web-ia,/fr/implantations/hauts-de-france/lille/sites-web-ia,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Nice,provence-alpes-cote-d-azur,audits,/fr/implantations/provence-alpes-cote-d-azur/nice/audits,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Nice,provence-alpes-cote-d-azur,interventions,/fr/implantations/provence-alpes-cote-d-azur/nice/interventions,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Nice,provence-alpes-cote-d-azur,implementations,/fr/implantations/provence-alpes-cote-d-azur/nice/implementations,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
1,Nice,provence-alpes-cote-d-azur,un-a-un,/fr/implantations/provence-alpes-cote-d-azur/nice/un-a-un,200,yes,no,WARNING,Stub page — pas d'article publié; noindex anti-doorway HCU; JSON-LD absent
