title,category,primary_keyword,suggested_intent,suggested_audiences,suggested_anchor,status,notes
"Comment auditer son cabinet IA en 2026 : guide pas-à-pas",Méthodologie,audit ia cabinet,informational,"pme:entreprise_privee","",pending,Pilier méthodologie
"Audit IA Flash à 490 € : ce que vous obtenez en 1 jour",Cas d'usage,audit ia flash,commercial_investigation,"tpe:entreprise_privee","",pending,Flash distance
"Audit IA Ciblé : 5 cas concrets sur 1 département en 3 jours",Cas d'usage,audit ia cible,commercial_investigation,"pme:entreprise_privee","",pending,Ciblé use cases
"Audit IA Stratégique PME : la démarche en 7 étapes",Méthodologie,audit ia strategique pme,informational,"pme:entreprise_privee","",pending,Strat PME process
"Audit IA ETI : comment cartographier 4 BU en 2 semaines",Méthodologie,audit ia eti,commercial_investigation,"eti:entreprise_privee","",pending,ETI gouvernance
"IA pour cabinet comptable : 7 cas d'usage validés",Cas d'usage,ia pour cabinet comptable,informational,"pme:entreprise_privee","",pending,Vertical comptable
"IA pour cabinet d'avocats : automatiser sans risquer la confidentialité",Cas d'usage,ia pour cabinet avocat,informational,"pme:entreprise_privee","",pending,Vertical avocats
"IA pour cabinet médical : 5 usages cliniques + administratifs",Cas d'usage,ia pour cabinet medical,informational,"pme:entreprise_privee","",pending,Vertical médical
"IA pour PME industrielle : où placer les premiers 50 K€ ?",Stratégie,ia pme industrielle,commercial_investigation,"pme:entreprise_privee","",pending,Vertical industrie
"IA pour e-commerce : automatiser fiches produits + reco + SAV",Cas d'usage,ia e-commerce,informational,"pme:entreprise_privee","",pending,Vertical e-commerce
"3 quick-wins IA opérationnels en 2026 (preuves chiffrées)",Cas d'usage,3 quick wins ia,informational,"pme:entreprise_privee","",pending,Pilier QW (article existant)
"Pourquoi auditer avant d'implémenter l'IA",Méthodologie,audit avant implementation,informational,"pme:entreprise_privee","",pending,Pilier méthodo (article existant)
"IA Custom : quand est-ce vraiment nécessaire ?",Stratégie,ia custom,informational,"pme:entreprise_privee","",pending,Pilier stratégie (article existant)
"RAG vs Fine-tuning : quel choix pour PME en 2026 ?",Stratégie,rag vs fine tuning,commercial_investigation,"pme:entreprise_privee","",pending,Comparatif tech
"Cabinet IA vs SaaS générique : quel ROI réel ?",Stratégie,cabinet ia vs saas,commercial_investigation,"pme:entreprise_privee","",pending,Build vs buy
"Internaliser ou externaliser l'IA : matrice de décision",Stratégie,internalisation externalisation ia,commercial_investigation,"eti:entreprise_privee","",pending,Make or buy
"Claude vs ChatGPT pour PME : tableau comparatif 2026",Outils,claude vs chatgpt entreprise,commercial_investigation,"pme:entreprise_privee","",pending,Compare modèles
"ChatGPT Team vs ChatGPT Enterprise : que choisir ?",Outils,chatgpt team vs enterprise,commercial_investigation,"pme:entreprise_privee","",pending,Compare GPT tiers
"Microsoft Copilot 365 : retour terrain après 6 mois",Outils,microsoft copilot 365 avis,commercial_investigation,"pme:entreprise_privee","",pending,Copilot review
"Cursor vs GitHub Copilot : lequel pour vos développeurs ?",Outils,cursor vs github copilot,commercial_investigation,"pme:entreprise_privee","",pending,IDE compare
"n8n vs Make vs Zapier : choisir son orchestrateur IA",Outils,n8n vs make vs zapier,commercial_investigation,"pme:entreprise_privee","",pending,Automation compare
"Granola vs Otter vs Fireflies : le bon transcripteur IA",Outils,granola vs otter vs fireflies,commercial_investigation,"pme:entreprise_privee","",pending,Transcription compare
"v0 vs Bolt vs Lovable : prototypage UI en 2026",Outils,v0 vs bolt vs lovable,commercial_investigation,"pme:entreprise_privee","",pending,Proto compare
"Stack IA pour dirigeant : 11 outils choisis (et pourquoi)",Outils,stack ia dirigeant,informational,"pme:entreprise_privee","",pending,Pilier stack
"Stack IA pour PME : nos 8 outils préférés en 2026",Outils,stack ia pme,informational,"pme:entreprise_privee","",pending,Stack PME
"Combien coûte un audit IA en France en 2026 ?",Tarifs,combien coute audit ia,commercial_investigation,"pme:entreprise_privee","",pending,Coût audit
"Combien coûte l'implémentation d'une IA custom ?",Tarifs,combien coute implementation ia,commercial_investigation,"pme:entreprise_privee","",pending,Coût impl
