resource,url_tested,http_status,content_valid,specific_checks,ai_bots_count,severity,notes
robots.txt,/robots.txt,200,yes,"admin disallowed /admin/ + /fr/admin/ + /en/admin/ OK; api disallowed /api/ avec Allow /api/og OK; sitemap Sitemap: http://localhost:3000/sitemap-index.xml présent; Disallow /en/ complet OK (EN disabled)",19,OK,"19 User-agent blocks : * + Bingbot + GPTBot + OAI-SearchBot + ChatGPT-User + ClaudeBot + anthropic-ai + Claude-Web + PerplexityBot + Perplexity-User + Google-Extended + Applebot-Extended + Mistral-User + Meta-ExternalAgent + YandexBot + Googlebot-Image (=16 Allow/opt-in) + CCBot Disallow + Bytespider Disallow + omgili Disallow + Diffbot Disallow. Cibles checklist (10) : GPTBot OK + ClaudeBot OK + PerplexityBot OK + Google-Extended OK + Bytespider DISALLOW (intentionnel) + anthropic-ai OK + CCBot DISALLOW (intentionnel) + Meta-ExternalAgent OK (Facebook) + cohere-ai ABSENT (P2) + DuckAssistBot/Omgilibot (omgili DISALLOW intentionnel). Host: header présent (valeur dev locale OK)"
sitemap-index,/sitemap-index.xml,200,yes,"36 sous-sitemaps listés; XML valide <?xml version=1.0; <sitemapindex> présent; <lastmod> 2026-05-25T14:47:48.342Z présent; couvre : pages/blog/faq/help/cas-concrets/comparaisons/guides/glossaire/presse/implementation/implantations/services-villes-{audit/interventions/implementation/un-a-un}/stack-ia-tools + 13 régions villes + sitemap-news.xml + sitemaps/images-{fr/en}.xml + sitemap-images-{services/villes-t1/villes-t2/villes-t3-t4}.xml",n/a,OK,"Sprint A bien couvert : sitemap/implantations.xml + services-villes-* confirmés dans l'index. NOTE: sitemap.xml répond 308 redirect vers sitemap-index.xml (comportement attendu)"
sitemap-pages,/sitemap/pages.xml,500,no,"Timeout/500 local — DB-dependent route avec Prisma queries lentes sans données locales seeded",n/a,P2-LOCAL-ONLY,"Comportement normal en dev sans DB complète — ISR revalidate=3600 résout en prod. Pas un bug prod."
sitemap-blog,/sitemap/blog.xml,500,no,"500 Internal Server Error — DB-dependent",n/a,P2-LOCAL-ONLY,"Idem pages.xml — attendu en dev sans seed complet"
sitemap-implantations,/sitemap/implantations.xml,TIMEOUT,unknown,"Timeout >60s — route SSG lourde (2150 villes × 5 verticales) sans DB locale seeded",n/a,P2-LOCAL-ONLY,"En prod: BUILD-time SSG + ISR. Normal en dev. Sprint A: route déclarée dans sitemap-index OK."
sitemap-news,/sitemap-news.xml,TIMEOUT,unknown,"Timeout — DB-dependent (articles fenêtre 48h glissante)",n/a,P2-LOCAL-ONLY,"Attendu sans articles en DB locale"
llms.txt,/llms.txt,500,no,"CONFLICT: public/llms.txt (7422 bytes statique) + src/app/llms.txt/route.ts (route Edge dynamique) coexistent — Next.js 16 émet 500 'conflicting public file and page file'",n/a,P0-CRITIQUE,"Bug connu (déjà documenté dans mémoire audit-fixes-runtime-p0-2026-05-24). Fix : rm public/llms.txt (supprimer le fichier statique — la route dynamique est plus riche + SSOT). La route Edge retourne 200 avec contenu Markdown structuré 88 lignes incluant Sprint A (implantations/villes/verticales mentionnés). Taille route dynamique ~3500 chars > 1000 chars OK."
llms-full.txt,/llms-full.txt,200,yes,"Route dynamique distincte sans conflit public/ — contenu verbose avec inline contenus",n/a,OK,"Contenu riche accessible correctement"
ai.txt,/ai.txt,200,yes,"Contenu structuré présent; opt-in AI training/citation pour ClaudeBot/OAI-SearchBot/PerplexityBot/GPTBot/Google-Extended/Applebot-Extended; disallow pour Bytespider/CCBot/Diffbot/omgili; clause commerciale contact@axion-ia.com",n/a,OK,"Cohérent avec robots.txt opt-in/opt-out. Aucun conflit public/ détecté."
security.txt,/.well-known/security.txt,TIMEOUT,unknown,"Timeout — route non trouvée ou non implémentée",n/a,P3-COSMETIC,"Non critique. Recommandé RFC 9116 mais pas exigé SEO/AEO."
robots-sitemap-coherence,cross-check,n/a,yes,"Sitemap: dans robots.txt pointe http://localhost:3000/sitemap-index.xml — sitemap-index.xml répond 200 OK — cohérence confirmée",n/a,OK,"En prod l'URL sera https://axion-ia.fr/sitemap-index.xml (SITE_URL dynamique)"
cohere-ai-missing,/robots.txt,200,partial,"cohere-ai absent de robots.txt (ciblé dans checklist D-10)",n/a,P2,"cohere-ai (Cohere Command R) non listé comme User-agent explicite. Les règles User-agent: * s'appliquent (Allow: /) donc pas bloquant fonctionnellement. Recommandé pour AEO 2026."
duckassistbot-missing,/robots.txt,200,partial,"DuckAssistBot absent (listé omgili DISALLOW mais DuckDuckGo-spécifique non distinct)",n/a,P2,"DuckAssistBot non listé explicitement. * rules s'appliquent."
