pattern,file,line,context_snippet,severity,fix_notes
"diagnostic complet en 5 jours ouvrés",src/server/content-gen/generators/landing-ville-by-vertical-audits.ts,6,"Tone : analytique, ROI-focused, ""diagnostic complet en 5 jours ouvrés""",P0,"VIOLATION: durée fixe d'audit dans tone/system-prompt. Remplacer par 'durée adaptée à votre périmètre' ou 'selon votre structure'. Voir landing-ville-shared.ts:254"
"rapport 5 jours ouvrés",src/server/content-gen/generators/landing-ville-by-vertical-audits.ts,37,"CTA principal : /audit (formulaire 5 étapes → rapport 5 jours ouvrés)",P0,"VIOLATION: durée fixe annoncée dans le userPromptFocusSection. Supprimer la mention '5 jours' et remplacer par délai adaptatif."
"diagnostic complet en 5 jours ouvrés",src/server/content-gen/generators/landing-ville-by-vertical-audits.ts,32,"Tone : analytique, ROI-focused, ""diagnostic complet en 5 jours ouvrés""",P0,"VIOLATION (duplicate): présent dans systemPromptOverride aussi. Supprimer du system prompt entièrement."
"Démarrage sous 7 jours ouvrés",src/content/audit-detail-configs.ts,196,"Démarrage sous 7 jours ouvrés",P1,"CONTEXT: audit-detail-configs.ts = data de config de tiers audit (pas content marketing). Acceptable car c'est une promesse spécifique au tier Flash Remote. Vérifier cohérence avec la durée réelle en production."
"premier atelier sous 5 jours ouvrés",src/content/keywords/m-positionnements.ts,316,"Notre promesse de démarrage : premier atelier sous 5 jours ouvrés",P1,"CONTEXT: keywords pour blog SEO. Cette mention de 'premier atelier sous 5 jours' peut être acceptable si c'est une promesse réelle du flash audit. MAIS si c'est une généralisation de tous les audits, c'est une violation P0. À vérifier avec le KB."
"rapport en 5 à 10 jours ouvrés",src/content/keywords/m-positionnements.ts,1140,"delai: ""rapport en 5 à 10 jours ouvrés""",P1,"CONTEXT: variable dans m-positionnements.ts pour injection dynamique. Si cette plage est la durée moyenne réelle du tier Ciblé/PME/Stratégique, acceptable. Sinon violation P0."
"Big 4 (cher, lent)",src/components/sections/AuditConversionBlocks.tsx,176,"Vous avez le choix entre un Big 4 (cher, lent), un freelance (incertain), une agence digitale (généraliste)",P0_ALLOWED,"NO VIOLATION: Big 4 mentionné uniquement dans contexte différenciation/comparaison, pas comme partenaire ou client. Wording explicite autorisé par landing-ville-shared.ts:262."
"contact@axion-ia.com",src/app/ai.txt/route.ts,84,"# accord écrit préalable. Contact: contact@axion-ia.com",CONTEXT,"NO VIOLATION: ai.txt est fichier de signalement technique/légal (robots.txt-like). contact@axion-ia.com accepté pour contacts techniques/légaux (pas marketing)."
"contact@axion-ia.com",src/content/legal.ts,44-280,"Numéro de TVA FR communiqué sur demande à contact@axion-ia.com",CONTEXT,"NO VIOLATION: legal.ts = contenu légal/RGPD. contact@axion-ia.com obligatoire pour DPO, contacts légaux (CGV, politique de confidentialité). Pas du contenu marketing."
"Inria, CEA, CNRS, Station F",src/components/ville/VilleEcosystemeLocal.tsx,152-162,"Pôles recherche publique (Inria, CEA, CNRS…), Incubateur (Station F, Wilco, NUMA…)",P0_ALLOWED,"NO VIOLATION: Inria et Station F mentionnés uniquement dans contexte d'écosystème économique local (description objective du tissu de la ville). Wording neutre = 'la ville accueille', 'le pôle de recherche présent à'. Pas de partenariat/client implicite."
