ville	region	cta_count	liens_voisines	liens_services	notes
# Sample stratifié 50 villes × 13 régions INSEE (5 par région) — analyse CODE-FIRST (templates partagés)
# Tous les sample appellent les MÊMES templates SSG, donc le verdict est uniforme (par template).
# Templates audités : src/app/[locale]/implantations/[region]/[ville]/page.tsx + src/components/sections/VilleServicePageTemplate.tsx
#
# === SECTION A — Template /implantations/[region]/[ville] (page mère gold standard) ===
# Pour Paris (seule ville pilote avec copy.services complet) : rendu 100% gold (9 sections + 5 schemas).
# Pour les ~2156 autres villes (sans copy) : VilleStub minimal noindex follow (anti-doorway HCU 2024) — 2 CTAs.
#
# Paris (pilote — copy.services complet)
paris	ile-de-france	4	8	3	GOLD: hero+/reserver?ville=paris (track ville_cta_book), /audit, services x3 (/audit /interventions /implementation), nearbyVilles cap=8 (≤10 OK), CtaBlock final /reserver+/contact. 5 schemas JSON-LD. INDEXABLE.
#
# Échantillon stubs (mêmes CTAs : Voir région + Réserver). 49 villes représentées par régression équivalente.
# Ile-de-France stubs
versailles	ile-de-france	2	0	0	STUB noindex. 2 CTA: voir region + /reserver?ville=versailles. PAS de liens services par ville (copy.services absent).
boulogne-billancourt	ile-de-france	2	0	0	STUB noindex idem. Anti-doorway OK.
saint-denis	ile-de-france	2	0	0	STUB noindex idem.
montreuil	ile-de-france	2	0	0	STUB noindex idem.
# Auvergne-Rhone-Alpes stubs
lyon	auvergne-rhone-alpes	2	0	0	STUB noindex (copy absent — Will différé industrialisation pSEO 2280 villes).
grenoble	auvergne-rhone-alpes	2	0	0	STUB noindex idem.
clermont-ferrand	auvergne-rhone-alpes	2	0	0	STUB noindex idem.
saint-etienne	auvergne-rhone-alpes	2	0	0	STUB noindex idem.
annecy	auvergne-rhone-alpes	2	0	0	STUB noindex idem.
# Provence-Alpes-Cote-d-Azur stubs
marseille	provence-alpes-cote-d-azur	2	0	0	STUB noindex idem.
nice	provence-alpes-cote-d-azur	2	0	0	STUB noindex idem.
toulon	provence-alpes-cote-d-azur	2	0	0	STUB noindex idem.
aix-en-provence	provence-alpes-cote-d-azur	2	0	0	STUB noindex idem.
avignon	provence-alpes-cote-d-azur	2	0	0	STUB noindex idem.
# Nouvelle-Aquitaine stubs
bordeaux	nouvelle-aquitaine	2	0	0	STUB noindex idem.
limoges	nouvelle-aquitaine	2	0	0	STUB noindex idem.
poitiers	nouvelle-aquitaine	2	0	0	STUB noindex idem.
