url_pattern,type,ssg,dynamic_params,revalidate,auth_required,notes
/maintenance,static_page,yes,none,none,no,"Root level, 503 fallback"
/[locale],dynamic_page,yes,locale,86400,no,"Root home, all locales SSG"
/[locale]/a-propos,static_page,yes,locale,none,no,"About page"
/[locale]/accessibilite,static_page,yes,locale,none,no,"Accessibility statement"
/[locale]/actualites,dynamic_page,yes,locale,3600,no,"News index ISR 1h"
/[locale]/actualites/[slug],dynamic_page,partial,locale+slug,3600,no,"News article SSG + on-demand"
/[locale]/audit,static_page,yes,locale,3600,no,"Audit hub"
/[locale]/audit/cible,static_page,yes,locale,3600,no,"Audit type: cible"
/[locale]/audit/demande,static_page,yes,locale,3600,no,"Audit request form"
/[locale]/audit/flash,static_page,yes,locale,3600,no,"Audit type: flash"
/[locale]/audit/par-ville/[ville],dynamic_page,partial,locale+ville,86400,no,"Audit by city ISR on-demand"
/[locale]/audit/strategique-eti,static_page,yes,locale,3600,no,"Audit type: strategic ETI"
/[locale]/audit/strategique-pme,static_page,yes,locale,3600,no,"Audit type: strategic PME"
/[locale]/blog,dynamic_page,yes,locale,3600,no,"Blog index ISR 1h"
/[locale]/blog/[slug],dynamic_page,partial,locale+slug,3600,no,"Blog article SSG + on-demand"
/[locale]/blog/auteur/[slug],dynamic_page,false,locale+slug,none,no,"Blog author filter SSG"
/[locale]/blog/categorie/[slug],dynamic_page,false,locale+slug,none,no,"Blog category filter SSG"
/[locale]/blog/secteur/[slug],dynamic_page,false,locale+slug,none,no,"Blog sector filter SSG"
/[locale]/blog/service/[slug],dynamic_page,false,locale+slug,none,no,"Blog service filter SSG"
/[locale]/blog/tag/[slug],dynamic_page,false,locale+slug,none,no,"Blog tag filter SSG"
/[locale]/blog/taille/[slug],dynamic_page,false,locale+slug,none,no,"Blog size filter SSG"
/[locale]/cas-concrets,static_page,yes,locale,86400,no,"Case studies index"
/[locale]/cas-concrets/[slug],dynamic_page,false,locale+slug,none,no,"Case study detail SSG"
/[locale]/cas-concrets/secteur/[slug],dynamic_page,false,locale+slug,none,no,"Case studies by sector"
/[locale]/centre-aide,static_page,yes,locale,none,no,"Help center index"
/[locale]/centre-aide/[slug],dynamic_page,false,locale+slug,none,no,"Help article SSG"
/[locale]/centre-aide/categorie/[slug],dynamic_page,false,locale+slug,none,no,"Help category SSG"
/[locale]/charte-editoriale,static_page,yes,locale,86400,no,"Editorial charter"
/[locale]/comparaisons,static_page,yes,locale,none,no,"Comparisons index"
/[locale]/comparaisons/[slug],dynamic_page,false,locale+slug,none,no,"Comparison detail SSG"
/[locale]/connaissances,dynamic_page,yes,locale,3600,no,"Knowledge index ISR 1h"
/[locale]/connaissances/[slug],dynamic_page,partial,locale+slug,3600,no,"Knowledge article ISR on-demand"
/[locale]/corrections,static_page,yes,locale,86400,no,"Corrections/errata page"
/[locale]/demande-devis,static_page,yes,locale,3600,no,"Quote request form"
/[locale]/equipe/[slug],dynamic_page,partial,locale+slug,86400,no,"Team member detail ISR on-demand"
/[locale]/faq,static_page,yes,locale,none,no,"FAQ index"
/[locale]/faq/[slug],dynamic_page,false,locale+slug,none,no,"FAQ item SSG"
/[locale]/galerie,dynamic_page,yes,locale,60,no,"Gallery index fastest ISR"
/[locale]/galerie/[slug],dynamic_page,partial,locale+slug,3600,no,"Gallery item ISR 1h"
/[locale]/glossaire,static_page,yes,locale,none,no,"Glossary index"
/[locale]/glossaire/[slug],dynamic_page,false,locale+slug,3600,no,"Glossary entry SSG"
/[locale]/guides,static_page,yes,locale,3600,no,"Guides index ISR 1h"
/[locale]/guides/[slug],dynamic_page,partial,locale+slug,3600,no,"Guide article ISR on-demand"
/[locale]/implantations,static_page,yes,locale,none,no,"Implementations hub"
/[locale]/implantations/[region],dynamic_page,partial,locale+region,86400,no,"Region implementations ISR"
/[locale]/implantations/[region]/[ville],dynamic_page,partial,locale+region+ville,86400,no,"City implementations ISR"
/[locale]/implantations/[region]/[ville]/[verticale],dynamic_page,partial,locale+region+ville+verticale,86400,no,"City vertical landing (top 100 SSG) 5 verticals"
/[locale]/implementation,static_page,yes,locale,3600,no,"Implementation hub"
/[locale]/implementation/par-fonction/[slug],dynamic_page,false,locale+slug,none,no,"Implementation by function SSG"
/[locale]/implementation/par-techno,static_page,yes,locale,3600,no,"Implementation by tech"
/[locale]/implementation/par-ville/[ville],dynamic_page,partial,locale+ville,86400,no,"Implementation by city ISR"
/[locale]/interventions,static_page,yes,locale,3600,no,"Interventions hub"
/[locale]/interventions/demande,static_page,yes,locale,3600,no,"Intervention request form"
/[locale]/interventions/par-ville/[ville],dynamic_page,partial,locale+ville,86400,no,"Intervention by city ISR"
/[locale]/presse,static_page,yes,locale,none,no,"Press kit index"
/[locale]/presse/[slug],dynamic_page,false,locale+slug,3600,no,"Press item detail SSG"
