type,source_component,destination,label_fr,has_tracking,has_aria,has_source_ville_attr,notes
cta_internal,OrangeContactBanner,/appel,"Réserver un appel",yes,yes,yes,"data-source-ville présent sur pages villes"
cta_internal,VilleServicePageTemplate,/contact,"Nous contacter",yes,yes,yes,"track=ville_cta_contact, data-source-ville"
cta_internal,VilleServicePageTemplate,/appel,"Réserver un appel",yes,yes,yes,"track=ville_cta_book, data-source-ville"
cta_internal,SitesWebHero,/contact,"Décrire mon projet",yes,yes,no,"track=sites-web-augmentes-hero-primary"
cta_internal,SitesWebHero,/audit,"Faire un audit",yes,yes,no,"track=sites-web-augmentes-hero-audit"
cta_internal,UnAUnHero,/contact,"Discuter du 1-à-1",yes,yes,no,"track=un-a-un-hero-primary"
cta_internal,UnAUnCtaBlock,/contact,"Discuter du 1-à-1",yes,yes,no,"track=un-a-un-cta-block-final"
cta_internal,ImplementationHero,/contact,"Lancer l'implémentation",yes,yes,no,"track=impl-hero-primary"
cta_internal,ImplementationHero,/audit,"Faire un audit d'abord",yes,yes,no,"track=impl-hero-audit"
cta_internal,ImplementationCtaBlock,/contact,"Lancer l'implémentation",yes,yes,no,"track=impl-final-primary"
cta_internal,ImplementationCtaBlock,/audit,"Audit d'abord",yes,yes,no,"track=impl-final-audit"
cta_internal,AuditHero,/reserver,"Réserver un audit flash",yes,yes,no,"track avec ?intervention=audit-flash-onsite"
cta_internal,AuditHero,/audit/demande,"Demande d'audit",yes,yes,no,"track=audit-hero-cadrage"
cta_internal,AuditCtaBlock,/reserver,"Audit flash on-site",yes,yes,no,"?intervention=audit-flash-onsite"
cta_internal,InterventionsHero,/reserver,"Voir les disponibilités",yes,yes,no,"Interventions"
cta_internal,InterventionsReservationFlow,/reserver,"Réserver",yes,yes,no,"track=interventions-flow"
cta_internal,InterventionsReservationFlow,/contact,"Besoin d'accompagnement ?",yes,yes,no,""
cta_internal,CollectiveDurationListing,/reserver,"Réserver",yes,yes,no,"Formations collectives"
cta_internal,HomePage,/reserver,"Voir les créneaux",yes,yes,no,"Hero"
cta_internal,HomePage,/contact,"Nous contacter",yes,yes,no,"Hero"
cta_internal,HomePage,/reserver,"Réserver une intervention",yes,yes,no,"Sections découverte"
cta_internal,HomePage,/contact,"Discuter du projet",yes,yes,no,""
cta_internal,ActualitesPage,/reserver,"Voir les formations",yes,yes,no,""
cta_internal,ComparisonPage,/audit,"Réserver un audit",yes,yes,no,""
cta_internal,CaseStudiesPage,/audit,"Lancer un audit",yes,yes,no,""
cta_internal,BlogPostPage,/audit,"Audit connexe",yes,yes,no,""
cta_internal,TarificationPage,/contact,"Devis personnalisé",yes,yes,no,"track=pricing_cta_final"
cta_internal,TransparencePage,/contact,"Discuter",yes,yes,no,""
cta_internal,StackIaPage,/audit/flash,"Audit flash",yes,yes,no,"track=stack-ia-audit"
cta_internal,NotFoundPage,/contact,"Nous contacter",yes,yes,no,"404"
form,UnifiedContactForm,submitUnifiedContactAction,"Demande de contact unifiée",yes,yes,no,"6 champs obligatoires. 5 avancés optionnels. Honeypot. Turnstile. Zod. Rate limit 3/10min."
form,BookingForm,createBookingAction,"Réservation intervention",yes,yes,no,"4 champs obligatoires. Phone optionnel. Honeypot. Turnstile. Zod. Idempotency UUID."
form,NewsletterForm,subscribeNewsletterAction,"Abonnement newsletter",yes,yes,no,"2 champs. Honeypot. Turnstile. Double opt-in RFC 8058. Rate limit 3/5min."
form,Option48hForm,postOption48hAction,"Option calendrier 48h",yes,yes,no,"8 champs. Honeypot. Turnstile. Zod. Pessimistic locking SELECT FOR UPDATE."
redirect,next.config.ts,"/:locale/audit/process → /:locale/audit/cible","Ancien slug audit",n/a,n/a,no,"301 permanent. Sprint 14.10.8"
redirect,next.config.ts,"/sitemap.xml → /sitemap-index.xml","Sitemap index",n/a,n/a,no,"301 permanent. Convention Next 16"
redirect,proxy.ts,"/en/* → /fr/équivalent","EN locale disabled",n/a,n/a,no,"301 via mapEnToFr(). Bug 307 next-intl. Toggle EN_LOCALE_ENABLED=true"
external_link,Footer,https://www.linkedin.com/company/axion-ia,"LinkedIn",no,yes,no,"target=_blank, rel=noreferrer"
external_link,UnsplashCredit,https://unsplash.com/?utm_source=axion-ia&utm_medium=referral,"Unsplash",no,yes,no,"target=_blank, rel=noreferrer"
