template,has-title,title-length-ok,has-desc,desc-length-ok,has-canonical,has-og,has-robots-correct,issues
layout.tsx (root locale),YES,YES — default 34 chars / template set,YES,BAD — 85 chars (too short),YES — canonical:/{locale},PARTIAL — type+locale+url+siteName but no og:image,YES — index:true follow:true,EN hreflang present despite EN being disabled (runtime proxy handles 301 but static meta still declares it); layout og missing og:image/og:title/og:description (only default); description 85 chars below 140-char target
page.tsx (home),YES — Cabinet IA Paris · Formations · Audits · Axion-IA,BAD — 60 chars after template = double Axion-IA 60 chars,YES,BAD — 188 chars exceeds 158 limit,YES — via buildProductMetadata,YES — full og:title/desc/image/url/type/locale/siteName,YES — index:true follow:true,CRITICAL: title already contains Axion-IA but uses plain string → layout template appends second Axion-IA → 60 chars with duplication; description 188 chars exceeds 158 limit
audit/page.tsx,YES — Audit IA PME & ETI · 4 niveaux · Flash dès X € · Axion-IA,BAD — 70 chars after template = double Axion-IA (dynamic price),YES,BAD — ~180 chars exceeds 158 limit,YES — via buildProductMetadata,YES — full OG via buildProductMetadata,YES — index:true follow:true,CRITICAL: title already contains Axion-IA but uses plain string → layout template appends second Axion-IA → ~70 chars with duplication; description ~180 chars exceeds 158 limit
interventions/page.tsx,YES — Interventions IA en entreprise · 4 familles · France & international,BAD — 79 chars with template applied,YES,BAD — ~220 chars exceeds 158 limit,YES,YES,YES,title 79 chars exceeds 70-char soft cap; description too long (~220 chars)
implantations/page.tsx,YES — Implantations · Cabinet IA opérationnel partout en France,OK — 68 chars with template,YES,OK — 166 chars (just over 158 — marginal),YES,YES,YES,description marginally over 158 chars at ~166
implantations/[region]/page.tsx,YES — dynamic: {region.nameFr} · Cabinet IA opérationnel,OK — ~50 chars + template = ~61 chars,YES,PARTIAL — uses region.pitchFr (length unknown/variable),YES,YES,CONDITIONAL — noindex if region.noindex=true else index,description length depends on region.pitchFr content (variable; not bounded in code)
implantations/[region]/[ville]/page.tsx (hub),YES — dynamic 2 variants,OK — pilot ~58 chars with template; stub ~54 chars,YES,PARTIAL — pilot uses ville.copy.directAnswerFr (truncated to 155); fallback 171 chars (exceeds 158),YES,YES,CONDITIONAL — noindex if !isPilot else index:true,Fallback description 171 chars exceeds 158; pilot description correctly truncated at 155; MISSING alternates.languages for EN (only fr and x-default — correct given EN disabled)
implantations/[region]/[ville]/[verticale]/page.tsx,YES — dynamic (from LLM article.metaTitle or fallback),OK — uses {absolute} title bypass correctly; fallback ~40 chars,YES,PARTIAL — uses article.metaDescription or fallback (~140 chars),YES,YES,CONDITIONAL — noindex if no article or tier_3,GOOD: only page using {absolute} to prevent double brand; fallback description ~140 chars borderline; no alternates.languages for EN (correct)
blog/[slug]/page.tsx,YES — uses article.metaTitle ?? article.title,UNKNOWN — depends on DB content,YES,UNKNOWN — uses article.metaDescription ?? article.excerpt,YES,YES,CONDITIONAL — noindex for tier-2 / tier-3,Description length depends on DB content — no enforcement beyond hope of well-formed data; tombstone returns noindex nofollow (correct)
VilleServicePageTemplate (audit/par-ville interventions/par-ville etc.),YES — dynamic,OK — ~43 chars with template (hasCopy); ~39 chars (no copy),YES,PARTIAL — hasCopy: sliced to 157 chars; fallback ~133 chars (under 140),YES,YES,CONDITIONAL — noindex if !hasCopy,Fallback description 133 chars is below 140-char minimum; hasCopy description correctly bounded at 157
(admin)/[adminPrefix]/layout.tsx,YES — implicit via parent,N/A,NO — no description set,N/A,NO — no canonical,NO — no OG,YES — noindex:true nofollow:true (correct),Admin correctly noindex/nofollow; no title/description needed (private console); no canonical (correct for admin)
