page,impressions,clicks,ctr,position
"https://axion-ia.com/fr",27,3,0.1111,1.85
"https://axion-ia.com/fr/comparaisons",15,3,0.2000,5.60
"https://axion-ia.com/fr/devenir-commercial-ia",14,3,0.2143,3.36
"https://axion-ia.com/fr/methodologie",15,2,0.1333,8.47
"https://axion-ia.com/galerie/axion-ia-formation-ia-1-jour-sur-mesure-generique-reserver-carre",13,2,0.1538,6.69
"https://axion-ia.com/actualites",1,1,1.0000,10.00
"https://axion-ia.com/fr/audit",15,1,0.0667,8.13
"https://axion-ia.com/fr/contact",10,1,0.1000,9.40
"https://axion-ia.com/fr/devenir-commercial-ia/candidature",11,1,0.0909,8.73
"https://axion-ia.com/fr/implantations/occitanie/castelnau-le-lez",2,1,0.5000,10.00
"https://axion-ia.com/fr/sites-web-augmentes",14,1,0.0714,8.43
"https://axion-ia.com/fr/a-propos",14,0,0.0000,3.14
"https://axion-ia.com/fr/blog",16,0,0.0000,8.94
"https://axion-ia.com/fr/cas-concrets",8,0,0.0000,12.75
"https://axion-ia.com/fr/centre-aide",1,0,0.0000,6.00
"https://axion-ia.com/fr/faq/choisir-cabinet-ia",4,0,0.0000,44.25
"https://axion-ia.com/fr/faq/qu-est-ce-qu-une-intervention",4,0,0.0000,5.25
"https://axion-ia.com/fr/galerie/axion-ia-envoi-message-numerique-automatique-campagne-email-affiche",2,0,0.0000,14.00
"https://axion-ia.com/fr/galerie/axion-ia-equipe-1to1-tous-profils-manager-rh-marketing-ops-photo-banniere",1,0,0.0000,9.00
"https://axion-ia.com/fr/galerie/axion-ia-graphique-ia-maintenant-attendre-explorer-integrer-dominer-infographie",3,0,0.0000,8.33
"https://axion-ia.com/fr/glossaire",8,0,0.0000,19.50
"https://axion-ia.com/fr/implantations/auvergne-rhone-alpes/jassans-riottier",2,0,0.0000,6.00
"https://axion-ia.com/fr/implantations/guadeloupe",7,0,0.0000,33.57
"https://axion-ia.com/fr/implantations/hauts-de-france/caudry",1,0,0.0000,29.00
"https://axion-ia.com/fr/implantations/hauts-de-france/meru",1,0,0.0000,17.00
"https://axion-ia.com/fr/implantations/normandie/evreux",3,0,0.0000,12.33
"https://axion-ia.com/fr/implementation/par-fonction/communication-interne",6,0,0.0000,19.83
"https://axion-ia.com/fr/implementation/par-fonction/service-client",2,0,0.0000,7.00
"https://axion-ia.com/fr/reserver",1,0,0.0000,9.00
"https://axion-ia.com/fr/sites-web-augmentes/par-ville/le-kremlin-bicetre",2,0,0.0000,7.50
"https://axion-ia.com/fr/stack-ia/v0",1,0,0.0000,11.00
"https://axion-ia.com/fr/tarifs",10,0,0.0000,10.60
"https://axion-ia.com/fr/transparence",4,0,0.0000,19.00
"https://www.axion-ia.com/",1,0,0.0000,10.00
"https://www.axion-ia.com/cookies",5,0,0.0000,29.80
"https://www.axion-ia.com/fr/conditions-generales",5,0,0.0000,23.20
"https://www.axion-ia.com/fr/interventions/dirigeants",5,0,0.0000,12.40
"https://www.axion-ia.com/politique-confidentialite",2,0,0.0000,16.50
