page,impressions,clicks,ctr,position
"https://axion-ia.com/fr",107,14,0.1308,3.88
"https://axion-ia.com/fr/avis",20,1,0.0500,7.45
"https://axion-ia.com/fr/blog/atelier-ia-grenoble-entreprise",6,1,0.1667,22.83
"https://axion-ia.com/fr/blog/coaching-ia-dirigeant-grenoble",55,1,0.0182,15.73
"https://axion-ia.com/fr/blog/implementation-ia-grenoble-entreprise-faq",7,1,0.1429,19.14
"https://axion-ia.com/fr/faq/definition-axion-ia",35,1,0.0286,3.54
"https://axion-ia.com/fr/faq/ia-gratuite-vs-payante",2,1,0.5000,5.50
"https://axion-ia.com/fr/faq/ia-remplace-salaries",10,1,0.1000,6.50
"https://axion-ia.com/fr/formations/ia-fondamentaux",8,1,0.1250,6.50
"https://axion-ia.com/fr/formations/tarifs",7,1,0.1429,7.43
"https://axion-ia.com/fr/galerie/axion-ia-formation-equipe-ia-40-pourcent-productivite-100-mesure-carre",9,1,0.1111,6.67
"https://axion-ia.com/fr/galerie/axion-ia-formation-ia-avant-apres-une-journee-resultats-photo-carre",4,1,0.2500,21.25
"https://axion-ia.com/fr/guides/guide-audit-ia-grenoble",10,1,0.1000,17.80
"https://axion-ia.com/fr/secteurs",31,1,0.0323,4.55
"https://axion-ia.com/formations/duree/3-jours",4,0,0.0000,22.00
"https://axion-ia.com/formations/duree/4-heures",1,0,0.0000,1.00
"https://axion-ia.com/formations/entreprise",9,0,0.0000,6.00
"https://axion-ia.com/fr/a-propos",1,0,0.0000,4.00
"https://axion-ia.com/fr/actualites",2,0,0.0000,9.00
"https://axion-ia.com/fr/audit",10,0,0.0000,13.30
"https://axion-ia.com/fr/audit/par-ville/nimes",1,0,0.0000,1.00
"https://axion-ia.com/fr/audit/par-ville/rouen",1,0,0.0000,9.00
"https://axion-ia.com/fr/audit/tpe-1-jour",1,0,0.0000,46.00
"https://axion-ia.com/fr/avis/anne-sophie-r-rh-recrutement-courbevoie-31",2,0,0.0000,10.00
"https://axion-ia.com/fr/avis/arnaud-c-commerce-retail-paris-70",10,0,0.0000,22.50
"https://axion-ia.com/fr/avis/deposer",3,0,0.0000,35.00
"https://axion-ia.com/fr/avis/floriane-t-artisanat-services-la-mure-46",1,0,0.0000,5.00
"https://axion-ia.com/fr/avis/kevin-t-commerce-retail-bourgoin-jallieu-11",1,0,0.0000,4.00
"https://axion-ia.com/fr/avis/laurent-s-sante-medecine-claix-53",1,0,0.0000,5.00
