category,url,http_status,content_ok,specific_checks,severity,notes
legal,/fr/mentions-legales,200,yes,"h1 ok (title+titleEm structure), contenu 5 sections, droit français, email contact ok",OK,"Contenu code-source validé. Note: SIREN [à compléter] placeholder présent — P2 cosmétique"
legal,/fr/conditions-generales,200,yes,"h1 ok, 7 sections CGV, tarifs HT+TVA, délais, annulation, loi française",OK,"Contenu complet et conforme droit FR. Aucune date explicite dans contenu mais structure solide"
legal,/fr/politique-confidentialite,200,yes,"h1 ok, AI Act art.50 mentionné, RGPD art 6.1.a/b/f, CNIL, SCC transferts, 9 sections",OK,"AI Act EU 2024/1689 art.50 explicitement mentionné. Sous-processeurs IA listés (OpenAI/Anthropic/Perplexity). EXCELLENT niveau conformité"
legal,/fr/rgpd,500,warning,"HTTP 500 RUNTIME — code-source ok: 7 droits RGPD art15-21, DPO contact, CNIL ref",P1,"500 runtime détecté lors du test. Code source conforme. Cause probable: DB/Prisma error au SSR. Vérifier logs serveur"
legal,/fr/cookies,500,warning,"HTTP 500 RUNTIME — code-source ok: Microsoft Clarity, Plausible, SCC UE→USA",P1,"500 runtime. Code source: politique cookies complète + Microsoft Clarity consent-gated + CNIL art.82"
legal,/fr/preferences-cookies,500,warning,"HTTP 500 RUNTIME — code-source ok: pas de tracking tiers par défaut, Plausible anonyme",P1,"500 runtime. Code source: page conforme RGPD, no-index robots correct (non-indexable)"
legal,/fr/accessibilite,500,warning,"HTTP 500 RUNTIME — code-source ok: WCAG 2.2 AA, RGAA 4.1, EAA Directive UE 2019/882, date 6 mai 2026",P1,"500 runtime. Code source: déclaration accessibilité conforme EAA. Date 2026 présente"
legal,/fr/desabonnement,500,warning,"HTTP 500 RUNTIME — code-source ok: RFC 8058 one-click, RGPD droits, noindex robots",P1,"500 runtime. Code source: conforme RFC 8058 + RGPD. noindex=true correct (page utilitaire)"
error,/fr/not-found-test-404-xxx,500,partial,"HTTP 500 au lieu de 404 — code not-found.tsx présent avec noindex+H1+suggestions",P1,"ATTENTION: route inexistante retourne 500 et non 404. Peut indiquer un crash middleware ou SSR error global"
technical,/robots.txt,TIMEOUT,yes,"13 AI bots Allow (GPTBot/ClaudeBot/PerplexityBot/Google-Extended/anthropic-ai/Claude-Web/OAI-SearchBot/ChatGPT-User/Perplexity-User/Applebot-Extended/Mistral-User/Meta-ExternalAgent/YandexBot/Googlebot-Image), Disallow /admin/ /api/ /mes-donnees/ /reserver/ /en/",OK_CODE,"HTTP timeout runtime mais code-source validé. Sitemap: /sitemap-index.xml. 13 AI bots opt-in (cible ≥10: PASSED). 4 bots bloqués (CCBot/Bytespider/omgili/Diffbot)"
technical,/sitemap.xml,TIMEOUT,yes,"generateSitemaps() produit 15+ sub-sitemaps statiques + chunks villes + knowledge. lastmod BUILD_TIME",OK_CODE,"HTTP timeout runtime. Code source: ~17500 routes SSG, 15 StaticSitemapId + villes par région chunké 1000URLs"
technical,/sitemap-index.xml,TIMEOUT,yes,"XML valide, 15+ sub-sitemaps + 7 custom (news+images), lastmod différencié par catégorie DB",OK_CODE,"HTTP timeout runtime. Code source: sitemap-index conforme, lastmod différencié news/knowledge/blog/fallback"
technical,/llms.txt,TIMEOUT,yes,"Format Markdown correct, 7 sections, edge runtime, prix dynamique via INTERVENTION_TIERS SSOT",OK_CODE,"HTTP timeout runtime. Code source: 14 entrées (enrichi depuis 4 lors audit 2026-05-18). Structure llmstxt.org standard. Cache 1h+24h SWR"
technical,/ai.txt,TIMEOUT,yes,"Présent, ai-training: allow global + 6 bots allowlist + 4 bots disallow, ai-citation: allow",OK_CODE,"HTTP timeout runtime. Code source: standard Spawning.ai/IAB AI Preferences draft. Cache 24h+7j SWR"
technical,/.well-known/security.txt,TIMEOUT,yes,"RFC 9116 conforme, Contact: mailto:contact@axion-ia.com, Expires: 2027-05-16, Preferred-Languages: fr en",OK_CODE,"HTTP timeout runtime. Code source: conforme RFC 9116. Expires 2027 = valide. force-static correct"
