tier,ville,region_slug,url,http_status,h1_ok,cta_ok,5_verticales_ok,json_ld_ok,fallback_used,severity,notes
2,saint-priest,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/saint-priest,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,belfort,bourgogne-franche-comte,/fr/implantations/bourgogne-franche-comte/belfort,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,saint-malo,bretagne,/fr/implantations/bretagne/saint-malo,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,blois,centre-val-de-loire,/fr/implantations/centre-val-de-loire/blois,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,bastia,corse,/fr/implantations/corse/bastia,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique - region noindex:true (Corse Phase 2)"
2,charleville-mezieres,grand-est,/fr/implantations/grand-est/charleville-mezieres,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,valenciennes,hauts-de-france,/fr/implantations/hauts-de-france/valenciennes,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,suresnes,ile-de-france,/fr/implantations/ile-de-france/suresnes,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,evreux,normandie,/fr/implantations/normandie/evreux,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,brive-la-gaillarde,nouvelle-aquitaine,/fr/implantations/nouvelle-aquitaine/brive-la-gaillarde,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,ales,occitanie,/fr/implantations/occitanie/ales,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,les-sables-d-olonne,pays-de-la-loire,/fr/implantations/pays-de-la-loire/les-sables-d-olonne,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,martigues,provence-alpes-cote-dazur,/fr/implantations/provence-alpes-cote-dazur/martigues,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,caluire-et-cuire,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/caluire-et-cuire,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,chalon-sur-saone,bourgogne-franche-comte,/fr/implantations/bourgogne-franche-comte/chalon-sur-saone,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,saint-brieuc,bretagne,/fr/implantations/bretagne/saint-brieuc,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
