url,http_status,h1_present,h1_count,title_length,desc_length,json_ld_type,canonical_ok,noindex_absent,og_tags_ok,severity,notes
/fr/,200,yes,1,49,188,"WebSite+Organization+FAQPage+ProfessionalService+Service",yes,yes,yes,WARNING,"desc 188 chars > 158 cible. 308→/fr (normal Next.js trailing slash). noindex absent dans source."
/fr/a-propos,200,yes,1,45,88,"Organization+Person",yes,yes,yes,WARNING,"desc 88 chars < 140 cible (trop courte)"
/fr/contact,200,yes,1,46,108,"LocalBusiness+ContactPage",yes,yes,yes,WARNING,"desc 108 chars < 140 cible. canonical auto via buildProductMetadata (path=/contact)"
/fr/methodologie,200,yes,1,44,91,"HowTo+BreadcrumbList",yes,yes,yes,WARNING,"desc 91 chars < 140 cible"
/fr/transparence,200,no,0,46,147,"SpecialAnnouncement+Organization",yes,yes,yes,WARNING,"H1 non trouvé dans page.tsx (dans composant externe). desc OK 147 chars."
/fr/audit,200,no,0,49,175,"Service+ItemList+BreadcrumbList",yes,yes,yes,WARNING,"title dynamique avec prix (49 chars). H1 dans composant AuditHero. desc dynamique ~175 chars OK."
/fr/interventions,200,no,0,62,195,"Service+ItemList+BreadcrumbList",yes,yes,yes,WARNING,"title 62 chars > 60 cible. desc dynamique ~195 chars > 158 cible. H1 dans InterventionsHero."
/fr/implementation,200,no,0,43,170,"Service+BreadcrumbList",yes,yes,yes,WARNING,"desc dynamique ~170 chars > 158 cible. H1 dans ImplementationHero."
/fr/un-a-un,200,no,0,40,185,"Service",yes,yes,yes,WARNING,"desc 185 chars > 158 cible. H1 dans composant externe."
/fr/sites-web-augmentes,200,no,0,44,120,"Service+BreadcrumbList",yes,yes,yes,WARNING,"title tronqué dans extract (apostrophe). H1 dans composant externe."
/fr/blog,200,yes,1,43,120,"ItemList+BreadcrumbList",yes,yes,yes,WARNING,"title dynamique paginated. desc non extraite (template literal). H1 présent."
/fr/ressources,200,no,0,32,97,"CollectionPage",yes,yes,yes,WARNING,"desc 97 chars < 140 cible. H1 dans composant externe. 0 JSON-LD refs dans page.tsx (JSON-LD dans composants)."
/fr/glossaire,200,no,0,43,109,"DefinedTermSet+BreadcrumbList",yes,yes,yes,WARNING,"desc 109 chars < 140 cible. H1 dans composant externe."
/fr/faq,200,yes,1,25,120,"FAQPage+SpeakableSpecification",yes,yes,yes,WARNING,"title 25 chars < 30 cible. desc non extraite complètement (apostrophe)."
/fr/centre-aide,200,yes,1,28,120,"FAQPage+Article",yes,yes,yes,WARNING,"title tronqué (apostrophe). desc non extraite (apostrophe). JSON-LD présent."
/fr/cas-concrets,200,yes,1,52,125,"ItemList+Review",yes,yes,yes,OK,"title 52 chars OK. desc 125 chars (légèrement sous cible)."
/fr/comparaisons,200,yes,1,52,109,"ItemList+Table",yes,yes,yes,WARNING,"desc 109 chars < 140 cible"
/fr/recherche,200,no,0,20,66,"WebPage",yes,yes,yes,WARNING,"title 20 chars < 30 cible. desc 66 chars < 140 cible. 0 JSON-LD dans page.tsx (UI client-side). H1 dans composant."
/fr/galerie,200,yes,1,24,110,"ImageGallery+ImageObject",yes,yes,yes,WARNING,"title 24 chars < 30 cible. desc extraite (banque images CC BY 4.0)."
/fr/actualites,200,yes,1,48,120,"ItemList+NewsArticle",yes,yes,yes,WARNING,"desc non extraite complètement."
/fr/charte-editoriale,200,no,0,28,158,"Article+Organization",yes,yes,yes,OK,"desc 158 chars = limite haute cible OK. H1 dans composant externe."
/fr/corrections,200,no,0,27,156,"WebPage+Organization",yes,yes,yes,OK,"desc 156 chars OK. H1 dans composant externe."
/fr/mes-donnees,200,no,0,27,84,"WebPage",yes,yes,yes,WARNING,"desc 84 chars < 140 cible. 0 JSON-LD dans page.tsx."
/fr/appel,404,no,0,0,0,"",no,yes,no,ERROR,"Route /fr/appel inexistante — aucun répertoire page.tsx, absent du routing.ts. URL invalide dans brief audit."
/fr/reserver,200,yes,1,46,120,"Service+ReservationPackage",yes,yes,yes,WARNING,"desc non extraite complètement (apostrophe)."
/fr/implantations,200,no,0,57,166,"Place+ItemList+BreadcrumbList",yes,conditional,yes,WARNING,"title 57 chars OK. noindex conditionnel (isIndexable = !region.noindex) pour pages région. Page hub /implantations elle-même indexable."
/fr/tarifs,200,no,0,73,164,"PriceSpecification+OfferCatalog",yes,yes,yes,ERROR,"title 73 chars > 60 cible. H1 dans composant externe."
/fr/roi,200,no,0,58,120,"WebPage",yes,yes,yes,WARNING,"desc non extraite complètement (apostrophe). 0 canonical explicit (auto via path=/roi). H1 dans composant."
/fr/audit/flash,200,no,0,60,100,"Service+Offer",yes,yes,yes,WARNING,"desc dans AUDIT_DETAIL_CONFIGS (non extraite statiquement). H1 dans AuditDetailPage template. title 60 chars = limite cible."
/fr/audit/ciblé,500,no,0,0,0,"",no,yes,no,ERROR,"URL incorrecte dans brief — accent sur é. La vraie URL est /fr/audit/cible (sans accent). 500 = route inexistante avec caractère accentué."
