ville,region_slug,url,http_status,h1_has_ville,5_verticales_cards,orange_banner,ecosysteme_local,json_ld_ok,breadcrumb_ok,severity,notes
paris,ile-de-france,/fr/implantations/ile-de-france/paris,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - cache Next.js corrompu (SyntaxError JSON pos 286641). Code statique OK : H1+OrangeContactBanner+5 verticales+VilleEcosystemeLocal+BreadcrumbJsonLd présents. LocalBusiness SAB ABSENT (uniquement Service+Place JSON-LD). Copy statique paris.ts présent."
lyon,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/lyon,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Code statique OK. Copy lyon.ts présent. pop:519127."
marseille,provence-alpes-cote-d-azur,/fr/implantations/provence-alpes-cote-d-azur/marseille,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy marseille.ts présent. pop:886040."
toulouse,occitanie,/fr/implantations/occitanie/toulouse,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy toulouse.ts présent. pop:514819."
nice,provence-alpes-cote-d-azur,/fr/implantations/provence-alpes-cote-d-azur/nice,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy nice.ts présent. pop:357737."
nantes,pays-de-la-loire,/fr/implantations/pays-de-la-loire/nantes,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy nantes.ts présent. pop:327734."
strasbourg,grand-est,/fr/implantations/grand-est/strasbourg,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy strasbourg.ts présent. pop:293771."
montpellier,occitanie,/fr/implantations/occitanie/montpellier,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy montpellier.ts présent. pop:310240."
bordeaux,nouvelle-aquitaine,/fr/implantations/nouvelle-aquitaine/bordeaux,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy bordeaux.ts présent. pop:267991."
lille,hauts-de-france,/fr/implantations/hauts-de-france/lille,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy lille.ts présent. pop:238246."
rennes,bretagne,/fr/implantations/bretagne/rennes,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy rennes.ts présent. pop:230890."
reims,grand-est,/fr/implantations/grand-est/reims,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy reims.ts présent. pop:177674."
le-havre,normandie,/fr/implantations/normandie/le-havre,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy le-havre.ts présent. pop:166687."
saint-etienne,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/saint-etienne,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy saint-etienne.ts présent. pop:173136."
toulon,provence-alpes-cote-d-azur,/fr/implantations/provence-alpes-cote-d-azur/toulon,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy toulon.ts présent. pop:179116."
grenoble,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/grenoble,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy grenoble.ts présent. pop:156140."
dijon,bourgogne-franche-comte,/fr/implantations/bourgogne-franche-comte/dijon,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy dijon.ts présent. pop:161830."
angers,pays-de-la-loire,/fr/implantations/pays-de-la-loire/angers,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy angers.ts présent. pop:159022."
nimes,occitanie,/fr/implantations/occitanie/nimes,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy nimes.ts présent. pop:151839."
