source,type,url_count,issues,notes
sitemap_code,pages_static,77,P1-static-count-approx,"88 routing pathnames - 11 exclusions (design/components/sections/desabonnement/mes-donnees/mes-donnees-export/confirmation/recherche/preferences-cookies/reserver/glossaire). FR only (EN_LOCALE_ENABLED!=true)"
sitemap_code,blog_posts_fs,0,P1-zero-tier1-indexable,"3 posts FS tous tier-2-noindex-follow (scores 58/60/62 sous seuil 70). 0 URL dans sitemap/blog.xml côté FS. Blog vivant uniquement via DB runtime (Article.indexationTier=tier_1)"
sitemap_code,blog_taxonomies,19,none,"categories=3 tags=9 authors=1 sectors=0 sizes=4 serviceTypes=2. Total 19 URLs taxonomy sitemap/blog.xml (FR only)"
sitemap_code,faq,40,none,"40 FAQ IDs depuis getAllFaqIds() dans content/transversal.ts. 40 URLs /fr/faq/:slug dans sitemap/faq.xml"
sitemap_code,help,12,none,"6 articles centre-aide + 6 categories distinctes (1 categorie par article). 12 URLs /fr/centre-aide/:slug + /fr/centre-aide/categorie/:slug dans sitemap/help.xml"
sitemap_code,cas_concrets,11,none,"6 case studies + 5 industries distinctes (getAllIndustrySlugs). 11 URLs dans sitemap/cas-concrets.xml"
sitemap_code,comparaisons,3,none,"3 slugs (cabinet-ia-vs-saas-generique / fine-tuning-vs-rag / internalisation-vs-externalisation). 3 URLs dans sitemap/comparaisons.xml"
sitemap_code,guides_hub,1,none,"1 URL hub /fr/guides. Guides individuels emis via sitemap/blog.xml (templateVariant=guide-pilier = tier-1 article)"
sitemap_code,glossaire,61,P2-hub-comment,"1 hub /fr/glossaire + 60 termes (12 legacy + 48 nouveaux). 61 URLs dans sitemap/glossaire.xml. Commentaire code dit 60 termes + hub mais la fonction listGlossaryTermSlugs compte bien 60"
sitemap_code,presse,5,none,"5 communiques de presse (PRESS_RELEASES). 5 URLs /fr/presse/:slug dans sitemap/presse.xml"
sitemap_code,implementation,8,none,"8 slugs AUTOMATISATIONS (pas 9 comme ancien grep - service-client/ventes-prospection/marketing-communication/administratif/ressources-humaines/donnees-pilotage/metier-production/communication-interne). 8 URLs /fr/implementation/par-fonction/:slug dans sitemap/implementation.xml"
sitemap_code,implantations_hub,13,none,"1 hub /fr/implantations + 12 regions indexables (noindex=false). 13 URLs dans sitemap/implantations.xml"
sitemap_code,villes_hub,39,none,"39 villes indexables (avec VilleCopy) sur 2157 structurelles. 12 sub-sitemaps region (villes-auvergne-rhone-alpes...villes-provence-alpes-cote-d-azur). CHUNK_SIZE=1000 pas atteint (max 6 villes/region). Toutes FR only"
sitemap_code,services_villes_audit,39,none,"39 villes avec copy.services.audit present (VilleServicesLong). 39 URLs /fr/audit/par-ville/:slug dans sitemap/services-villes-audit.xml"
sitemap_code,services_villes_interventions,39,none,"39 villes avec copy.services.interventions present. 39 URLs /fr/interventions/par-ville/:slug dans sitemap/services-villes-interventions.xml"
sitemap_code,services_villes_implementation,39,none,"39 villes avec copy.services.implementation present. 39 URLs /fr/implementation/par-ville/:slug dans sitemap/services-villes-implementation.xml"
sitemap_code,services_villes_un_a_un,39,none,"39 villes avec copy.services.unAUn present (verifie orleans inclus). 39 URLs /fr/un-a-un/par-ville/:slug dans sitemap/services-villes-un-a-un.xml"
sitemap_code,stack_ia_tools,12,none,"12 outils (STACK_TOOL_DETAILS avec id:). 12 URLs /fr/stack-ia/:slug dans sitemap/stack-ia-tools.xml"
sitemap_code,knowledge_db,0,P0-build-stub,"0 au build (DATABASE_URL=stub.invalid = Proxy short-circuit countKnowledgePublicEntries->0). Repopule ISR revalidate=3600 en prod si articles KB publies. Nombre de sub-sitemaps knowledge-N = 0 au build SSG"
sitemap_code,sitemap_news,0,P0-build-stub,"0 entrees au build (DB stub). Runtime: Articles isNews=true dans fenetre 48h + PRESS_RELEASES <48h. Route Handler XML brut /sitemap-news.xml (namespace xmlns:news)"
sitemap_code,image_sitemaps,0,P1-status-unknown,"4 image sitemaps declares dans sitemap-index.xml: sitemaps/images-fr.xml sitemaps/images-en.xml sitemap-images-services.xml sitemap-images-villes-t1.xml. Contenu depend de image-bank DB runtime"
sitemap_code,missing_verticale_implantations,500,P1-not-in-sitemap,"Route /implantations/[region]/[ville]/[verticale] (Sprint A Phase 5) genere top 100 villes * 5 verticales = 500 SSG routes. Non presente dans sitemap.ts. Pages noindex si pas Article LLM - eligibles sitemap si Article tier-1 existe. Verticales: audits/implementations/interventions/un-a-un/sites-web-ia"
sitemap_code,total_static_fr,447,none,"77+19+40+12+11+3+1+61+5+8+13+39+39+39+39+12+39 = ~447 URLs FR statiques (hors DB runtime blog/knowledge/news/images)"
sitemap_code,total_with_db_runtime,447+N,P0-build-stub,"447 au build SSG + N articles tier-1 DB + N knowledge entries publics. Volume prod depend des campagnes content-gen actives (cible: +500-1000 articles/mois si campagnes actives)"
