page	cta_type	label	href	above_fold	http_status	notes
/fr	primary	Réserver une intervention ou un audit IA	/fr/reserver	yes	503	HEADER NAV — TARGET CASSÉ "no available server"
/fr	primary	Démarrer · 390 €	/fr/interventions/essentielle	yes	200	DRIFT prix : label promet 390 € mais essentielle = 490 €
/fr	secondary	Voir des cas concrets	/fr/cas-concrets	yes	200	OK
/fr	primary	Intervenir auprès de vos équipes	/fr/interventions	no	200	OK
/fr	primary	Auditer votre entreprise	/fr/audit	no	200	OK
/fr	primary	Implémenter dans votre entreprise	/fr/implementation	no	200	OK
/fr	secondary	Lire le cas (Artisan)	/fr/cas-concrets/tpe-artisan-prospection	no	503	TARGET CASSÉ
/fr	secondary	Lire le cas (Industrie)	/fr/cas-concrets/industrie-comptabilite	no	200	OK
/fr	secondary	Lire le cas (Banque)	/fr/cas-concrets/banque-onboarding	no	200	OK
/fr	primary	Lancer le simulateur	/fr/roi	no	503	TARGET CASSÉ
/fr	primary	Voir l'Essentielle	/fr/interventions/essentielle	no	200	OK
/fr	primary	Parler à un intervenant	/fr/contact	no	200	OK
/fr/interventions	primary	Pré-réservez sur le calendrier	/fr/reserver	yes	503	TARGET CASSÉ
/fr/interventions	primary	Réserver une intervention ou un audit IA	/fr/reserver	yes	503	HEADER — TARGET CASSÉ
/fr/interventions	primary	Ouvrir le calendrier	/fr/reserver	no	503	TARGET CASSÉ
/fr/interventions	secondary	Voir les interventions équipes	/fr/interventions/collectives	no	200	OK
/fr/interventions	secondary	Voir les coachings individuels	/fr/interventions/individuel	no	503	TARGET CASSÉ
/fr/interventions	secondary	Voir les offres dirigeants	/fr/interventions/dirigeants	no	503	TARGET CASSÉ
/fr/interventions	secondary	Voir les conférences	/fr/interventions/conference	no	503	TARGET CASSÉ
/fr/interventions	secondary	Question avant de pré-réserver ?	/fr/contact	no	200	OK
/fr/interventions	secondary	Auditer d'abord →	/fr/audit	no	200	OK
/fr/interventions	secondary	Implémenter l'IA →	/fr/implementation	no	200	OK
/fr/interventions/collectives	primary	Réserver une intervention ou un audit IA	/fr/reserver	yes	503	HEADER — TARGET CASSÉ
/fr/interventions/collectives	primary	Pré-réservez sur le calendrier	/fr/reserver	yes	503	TARGET CASSÉ
/fr/interventions/collectives	secondary	Voir les formations (4h)	/fr/interventions/collectives/4h	no	200	OK
/fr/interventions/collectives	secondary	Voir les formations (1j)	/fr/interventions/collectives/1-jour	no	200	OK
/fr/interventions/collectives	secondary	Voir les formations (2j)	/fr/interventions/collectives/2-jours	no	200	OK
/fr/interventions/collectives	secondary	Demander un devis	/fr/interventions/demande?objet=formation-collective-sur-mesure	no	?	probable 200 (page /interventions/demande)
/fr/interventions/collectives	secondary	Demander un appel →	/fr/interventions/demande?objet=cadrage-formation-equipe	no	?	probable 200
/fr/interventions/individuel	-	-	-	-	503	PAGE ELLE-MÊME EN 503 — INVENTAIRE IMPOSSIBLE
/fr/interventions/dirigeants	-	-	-	-	503	PAGE ELLE-MÊME EN 503 — INVENTAIRE IMPOSSIBLE
/fr/interventions/conference	-	-	-	-	503	PAGE ELLE-MÊME EN 503 — INVENTAIRE IMPOSSIBLE
